datum;zdroj;den_v_roce;sezona;zakryv_podil;pouzitelny;ndvi_median_lokalita;plocha_ha;plocha_ha_prah0.25;plocha_ha_prah0.30;plocha_ha_prah0.35;ndvi_les;ndvi_golf;ndvi_pole
2019-09-03;pasma;246;1;0.0;1;0.81;0.0;0.0;0.0;0.01;0.793;0.721;0.474
2019-10-13;pasma;286;0;0.0;1;0.674;0.24;0.21;0.24;0.27;0.716;0.719;0.403
2019-11-30;pasma;334;0;0.0;1;0.53;0.0;0.0;0.0;0.0;0.706;0.693;0.421
2019-12-10;pasma;344;0;0.0;1;0.455;0.0;0.0;0.0;0.01;0.601;0.624;0.365
2019-12-20;pasma;354;0;0.0;1;0.444;0.39;0.34;0.39;0.49;0.571;0.602;0.352
2020-01-01;pasma;1;0;0.0;1;0.479;0.31;0.29;0.31;0.38;0.629;0.612;0.379
2020-02-08;pasma;39;0;0.0;1;0.488;0.41;0.34;0.41;0.7;0.576;0.565;0.34
2020-03-24;pasma;84;0;0.0;1;0.551;0.38;0.34;0.38;0.58;0.713;0.733;0.345
2020-04-05;pasma;96;0;0.0;1;0.503;0.58;0.51;0.58;0.87;0.683;0.712;0.279
2020-04-23;pasma;114;0;0.0;1;0.735;0.46;0.44;0.46;0.53;0.763;0.756;0.406
2020-05-18;pasma;139;1;0.0;1;0.857;0.5;0.46;0.5;0.55;0.825;0.742;0.67
2020-07-14;pasma;196;1;0.0;1;0.866;0.65;0.6;0.65;0.72;0.864;0.792;0.713
2020-08-28;pasma;241;1;0.0;1;0.827;0.66;0.61;0.66;0.75;0.795;0.715;0.372
2020-09-15;pasma;259;1;0.0;1;0.801;0.72;0.62;0.72;0.8;0.821;0.755;0.59
2020-09-20;pasma;264;1;0.0;1;0.795;1.06;0.89;1.06;1.15;0.796;0.733;0.573
2020-10-25;pasma;299;0;0.0;1;0.619;1.03;0.84;1.03;1.16;0.728;0.755;0.401
2020-12-29;pasma;364;0;0.0;1;0.514;1.2;1.11;1.2;1.37;0.732;0.758;0.35
2021-03-26;pasma;85;0;0.0;1;0.388;2.21;1.57;2.21;3.39;0.62;0.682;0.301
2021-03-31;pasma;90;0;0.0;1;0.384;3.33;1.74;3.33;4.06;0.65;0.715;0.322
2021-05-10;pasma;130;1;0.0;1;0.669;2.62;1.73;2.62;2.98;0.796;0.785;0.719
2021-10-30;pasma;303;0;0.0;1;0.593;0.53;0.25;0.53;0.76;0.718;0.717;0.356
2021-11-06;pasma;310;0;0.0;1;0.572;0.5;0.21;0.5;0.76;0.755;0.718;0.425
2022-01-03;pasma;3;0;0.0;1;0.462;2.44;1.83;2.44;2.86;0.675;0.609;0.348
2022-02-12;pasma;43;0;0.0;1;0.431;2.68;1.82;2.68;3.21;0.651;0.571;0.28
2022-06-02;pasma;153;1;0.0;1;0.648;2.65;2.18;2.65;2.91;0.752;0.664;0.736
2022-07-19;pasma;200;1;0.0;1;0.621;2.68;2.22;2.68;2.96;0.818;0.745;0.532
2023-05-05;pasma;125;1;0.0;1;0.584;2.84;2.5;2.84;3.14;0.763;0.766;0.788
2023-08-11;pasma;223;1;0.0;1;0.592;2.99;2.58;2.99;3.36;0.788;0.711;0.44
2024-03-28;pasma;88;0;0.0;1;0.31;4.65;4.29;4.65;5.15;0.727;0.752;0.572
2024-06-18;pasma;170;1;0.0;1;0.335;4.6;4.41;4.6;4.8;0.741;0.66;0.626
2024-08-12;pasma;225;1;0.0;1;0.213;5.25;4.98;5.25;5.43;0.656;0.569;0.368
2025-04-04;pasma;94;0;0.0;1;0.182;5.94;5.47;5.94;6.48;0.686;0.727;0.473
2025-07-01;pasma;182;1;0.0;1;0.312;4.67;4.31;4.67;4.92;0.787;0.714;0.705
2026-03-07;pasma;66;0;0.0;1;0.142;6.53;5.85;6.53;7.21;0.53;0.516;0.273
2026-04-07;pasma;97;0;0.0;1;0.154;5.84;5.51;5.84;6.29;0.691;0.696;0.336
2026-06-25;pasma;176;1;0.0;1;0.223;5.06;4.86;5.06;5.29;0.796;0.683;0.562
2026-08-05;pasma;217;1;0.0;1;0.24;5.1;4.81;5.1;5.36;0.709;0.598;0.462
